category,datetime,headline,id,image,related,source,summary,url
company,1623061080,"On The Doorstep: S&P 500 Begins Week Close To Record Highs, With Inflation Data Up Next",67992739,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/money-767778_1920_55.jpg,AAPL,Benzinga,"After stocks came within inches of a new record high on Friday following the “Goldilocks” May jobs report, the new week starts with investors mulling inflation,...",https://finnhub.io/api/news?id=f5fbc1cdff2ad312ec892775f53e640d6010069ed5cee4ab575a0de17905baa7
company,1623060922,Wall Street flat; tech shares shrug off G7 tax deal,67990221,https://www.nasdaq.com/sites/acquia.prod/files/2021-06-07T111425Z_1_PH5_RTRLXPP_2_LYNXPACKAGER.JPG?59891538,AAPL,Nasdaq,"U.S. stocks were little changed on Monday as investors remained on the fence ahead of key inflation data later this week, while heavyweight technology shares largely shrugged off a deal by the world's richest nations on a global minimum corporate tax.",https://finnhub.io/api/news?id=0177678d5bd77b1ee617ff3d5d147f7aec53226e80cce4a7617caf4212ac667c
company,1623060103,Apple developers look for App Store changes at annual conference,67991468,https://static.reuters.com/resources/r/?m=02&d=20210607&t=2&i=1564759329&r=LYNXNPEH560IS,AAPL,Reuters,"Apple Inc Chief Executive Tim Cook and his team address one of their most important audiences on Monday, kicking off an annual conference for app developers at a time the iPhone maker is defending itself in court over its App Store practices.",https://finnhub.io/api/news?id=9a521f5e62093a053905d38dc7df90205436456dd8281985d96f2bb7c0ec0f65
company,1623060000,Apple developers look for App Store changes at annual conference ,68011205,,AAPL,Reuters,"Apple Inc Chief Executive Tim Cook and his team address one of their most important audiences on Monday, kicking off an annual conference for app developers at a time the iPhone maker is defending itself in court over its App Store practices.",https://finnhub.io/api/news?id=ba68fba49c0e15942cd22e2bb7d69aba5e5a3e29d29530fe91e41ea58a83c944
company,1623059280,Apple iPhone Build Cuts to Grow: Loop Capital By Investing.com,68016066,https://i-invdn-com.investing.com/news/LYNXNPEC3P1MK_L.jpg,AAPL,Investing.com,Apple iPhone Build Cuts to Grow: Loop Capital,https://finnhub.io/api/news?id=f34660c5203bb14ad68ab6f6b49f9f50d507d5bbebe507e5ea86ab4aeb9ec97d
company,1623056346,Wall Street set for muted open as investors await inflation data,67990224,https://www.nasdaq.com/sites/acquia.prod/files/2021-06-07T111425Z_1_PH5_RTRLXPP_2_LYNXPACKAGER.JPG?346765590,AAPL,Nasdaq,"Wall Street's main indexes were set for a tepid open on Monday as investors remained on the fence ahead of key inflation data later this week, while heavyweight technology shares largely shrugged off a deal by the world's richest nations on a global minimum corporate tax.",https://finnhub.io/api/news?id=db9f1e2a03e57f8f7d501d19c386306ee50a400becaa1a3d5ec7065677684a22
company,1623056040,G7 Agrees to Minimum 15% Corporate Tax: Reuters,67994859,https://cdn.benzinga.com/files/imagecache/og_image_social_share_1200x630/images/story/2012/amazon_facebook-unsplash_0.jpg,AAPL,Benzinga,"Facebook Inc (NASDAQ: FB), Amazon.com Inc (NASDAQ: AMZN), Apple Inc (NASDAQ: AAPL), Microsoft Inc (NASDAQ: MSFT), and Google-parent ...",https://finnhub.io/api/news?id=0db93a446944ad2d28103123cd5fba17fa2d6054602b529d8aa69161121fc20b
company,1623055270,What now for the G7 tax deal on multinationals?,68004819,https://www.nasdaq.com/sites/acquia.prod/files/2021-06-04T194959Z_1_XZ8_RTRLXPP_2_LYNXPACKAGER.JPG?764674106,AAPL,Nasdaq,The G7's weekend agreement on a global minimum corporate tax rate and arrangements for taxing multinationals paves the way for a broader deal in the coming weeks that could reshape cross-border taxation for years to come. [nL2N2NN05A],https://finnhub.io/api/news?id=21d89dfe830496da8d79b1a94d1e4ad79193495eea30c87e7fc36642d98fdbe8
company,1623055260,This 5G Stock Is a Terrific Bargain Right Now,68004579,https://www.nasdaq.com/sites/acquia.prod/files/2019-05/0902-Q19%20Total%20Markets%20photos%20and%20gif_CC8.jpg?1241787876,AAPL,Nasdaq,"The recent sell-off in tech stocks is a blessing for investors looking to add fast-growing companies to their portfolios at attractive valuations. Several high-growth tech companies are big bargains right now, including one that could help you take advantage of the hot 5G trend.",https://finnhub.io/api/news?id=390d7b0846031223623732c39eef6580525839764adefd6e602d466e4a931b4e
company,1623054600,Google Puts Another Dent In Facebook's Data Machine With Android 12 Privacy,67989144,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1186520428/medium_image_1186520428.jpg,AAPL,SeekingAlpha,Google has very quietly added a feature like Apple’s App Tracking Transparency to Android 12. See how this puts another small but significant dent in Facebook’s finely-tuned Data Machine.,https://finnhub.io/api/news?id=7ccb7c7be257b33b875d25a9a2e2a0f39c361c6e7434358b76a554651e5a68be
company,1623054532,"Pre-Market Most Active for Jun 7, 2021 :  AMC, BB, WDH, LMNL, QTS, F, SQQQ, MVIS, AHT, AAPL, QQQ, TLRY",67990273,https://www.nasdaq.com/sites/acquia.prod/files/2019-05/0902-Q19%20Total%20Markets%20photos%20and%20gif_CC8.jpg?1592344693,AAPL,Nasdaq,"The NASDAQ 100 Pre-Market Indicator is up 3.46 to 13,774.23.  The total Pre-Market volume is currently 12,761,257 shares traded.The following are the most active stocks for the pre-market session: AMC Entertainment Holdings, Inc. (AMC) is +0.74 at $48.65, with 9,957,687 shares tr",https://finnhub.io/api/news?id=45bfe35f319d6ff86234bf99dc565e908218a03448cd7995bedf39255ddfe9eb
