date,close,high,low,open,status,volume
2021-05-14 11:15:00,126.64,126.75,126.63,126.65,ok,587280
2021-05-14 11:20:00,126.555,126.65,126.5,126.65,ok,801263
2021-05-14 11:25:00,126.55,126.645,126.505,126.555,ok,614222
2021-05-14 11:30:00,126.56,126.585,126.49,126.55,ok,680334
2021-05-14 11:35:00,126.585,126.61,126.52,126.57,ok,697004
2021-05-14 11:40:00,126.46,126.62,126.405,126.585,ok,793498
2021-05-14 11:45:00,126.61,126.63,126.465,126.465,ok,556914
2021-05-14 11:50:00,126.55,126.645,126.5,126.6,ok,374630
2021-05-14 11:55:00,126.525,126.59,126.48,126.56,ok,368777
2021-05-14 12:00:00,126.57,126.63,126.47,126.53,ok,463173
2021-05-14 12:05:00,126.71,126.74,126.57,126.58,ok,773872
2021-05-14 12:10:00,126.81,126.86,126.7,126.71,ok,759634
2021-05-14 12:15:00,126.83,126.87,126.77,126.81,ok,441859
2021-05-14 12:20:00,126.88,126.92,126.83,126.83,ok,502672
2021-05-14 12:25:00,126.91,126.96,126.85,126.88,ok,487308
2021-05-14 12:30:00,126.975,126.985,126.88,126.91,ok,547630
2021-05-14 12:35:00,126.94,126.98,126.88,126.98,ok,467871
2021-05-14 12:40:00,126.87,126.96,126.85,126.94,ok,393487
2021-05-14 12:45:00,127.025,127.04,126.865,126.865,ok,757300
2021-05-14 12:50:00,127.085,127.13,127.03,127.03,ok,800410
2021-05-14 12:55:00,127.15,127.17,127.06,127.09,ok,422685
2021-05-14 13:00:00,127.005,127.155,127.0,127.145,ok,467695
2021-05-14 13:05:00,127.07,127.08,126.975,127.01,ok,643315
2021-05-14 13:10:00,127.105,127.16,127.07,127.08,ok,459572
2021-05-14 13:15:00,127.04,127.11,127.01,127.101,ok,464083
2021-05-14 13:20:00,127.13,127.19,127.05,127.05,ok,483725
2021-05-14 13:25:00,127.225,127.255,127.125,127.125,ok,642971
2021-05-14 13:30:00,127.09,127.285,127.03,127.23,ok,727205
2021-05-14 13:35:00,127.1,127.15,127.07,127.08,ok,499231
2021-05-14 13:40:00,127.07,127.17,127.04,127.09,ok,519453
2021-05-14 13:45:00,127.14,127.15,127.05,127.065,ok,361260
2021-05-14 13:50:00,127.17,127.2,127.11,127.15,ok,459339
2021-05-14 13:55:00,127.21,127.23,127.145,127.165,ok,457104
2021-05-14 14:00:00,127.23,127.25,127.15,127.21,ok,461596
2021-05-14 14:05:00,127.3,127.35,127.215,127.24,ok,709983
2021-05-14 14:10:00,127.37,127.44,127.26,127.31,ok,699517
2021-05-14 14:15:00,127.3,127.4,127.3,127.365,ok,459730
2021-05-14 14:20:00,127.32,127.355,127.255,127.3,ok,528271
2021-05-14 14:25:00,127.31,127.36,127.28,127.33,ok,423403
2021-05-14 14:30:00,127.395,127.4,127.32,127.32,ok,369112
2021-05-14 14:35:00,127.44,127.5,127.37,127.395,ok,659790
2021-05-14 14:40:00,127.52,127.56,127.44,127.44,ok,745545
2021-05-14 14:45:00,127.62,127.7,127.5,127.52,ok,788474
2021-05-14 14:50:00,127.7,127.73,127.53,127.61,ok,943504
2021-05-14 14:55:00,127.53,127.72,127.47,127.7,ok,758483
2021-05-14 15:00:00,127.39,127.54,127.3,127.53,ok,964899
2021-05-14 15:05:00,127.39,127.47,127.32,127.39,ok,637676
2021-05-14 15:10:00,127.38,127.43,127.295,127.39,ok,636199
2021-05-14 15:15:00,127.32,127.42,127.32,127.37,ok,673076
2021-05-14 15:20:00,127.282,127.39,127.282,127.315,ok,661670
2021-05-14 15:25:00,127.38,127.38,127.25,127.29,ok,752330
2021-05-14 15:30:00,127.29,127.44,127.17,127.38,ok,995285
2021-05-14 15:35:00,127.345,127.36,127.25,127.28,ok,752649
2021-05-14 15:40:00,127.315,127.39,127.26,127.34,ok,864872
2021-05-14 15:45:00,127.445,127.5,127.29,127.32,ok,1176520
2021-05-14 15:50:00,127.82,127.89,127.36,127.445,ok,2409756
2021-05-14 15:55:00,127.45,127.83,127.34,127.82,ok,2953737
2021-05-14 16:00:00,127.45,127.55,127.25,127.55,ok,11320392
2021-05-14 16:05:00,127.51,127.51,127.43,127.45,ok,82620
2021-05-14 16:10:00,127.45,127.46,127.42,127.46,ok,98503
2021-05-14 16:15:00,127.45,127.45,127.42,127.45,ok,6812
2021-05-14 16:20:00,127.51,127.51,127.45,127.45,ok,9474
2021-05-14 16:25:00,127.47,127.52,127.47,127.52,ok,3660
2021-05-14 16:30:00,127.5,127.5,127.47,127.49,ok,9200
2021-05-14 16:35:00,127.53,127.53,127.52,127.52,ok,1828
2021-05-14 16:45:00,127.49,127.5,127.47,127.48,ok,13322
2021-05-14 16:50:00,127.52,127.52,127.5,127.5,ok,11691
2021-05-14 16:55:00,127.55,127.55,127.49,127.54,ok,38535
2021-05-14 17:00:00,127.56,127.58,127.55,127.55,ok,477710
2021-05-14 17:05:00,127.57,127.57,127.52,127.56,ok,10023
2021-05-14 17:10:00,127.6,127.6,127.57,127.57,ok,6010
2021-05-14 17:15:00,127.57,127.6,127.55,127.6,ok,12941
2021-05-14 17:30:00,127.52,127.53,127.52,127.53,ok,2114
2021-05-14 17:40:00,127.58,127.59,127.56,127.58,ok,6568
